Country,Country_Code,Year,Arrivals_in_Thousands,Departures_in_Thousands,Expenditures_in_USD_Millions,Receipts_in_USD_Millions
Latvia,LVA,1995,539.0,1812.0,37.0,62.0
"Macao SAR, China",MAC,1995,4202.0,,3233.0,
St. Martin (French part),MAF,1995,,,,
Morocco,MAR,1995,2602.0,1317.0,1469.0,356.0
Monaco,MCO,1995,233.0,,,
Moldova,MDA,1995,,,71.0,73.0
Madagascar,MDG,1995,75.0,39.0,106.0,79.0
Maldives,MDV,1995,315.0,32.0,211.0,41.0
Middle East & North Africa,MEA,1995,24178.776485764898,,18826.3789078905,
Mexico,MEX,1995,20241.0,8450.0,6847.0,3587.0
Marshall Islands,MHL,1995,5.5,,2.5,
Middle income,MIC,1995,136463.673013287,108322.49403962199,79970.1739215685,58706.675462641506
North Macedonia,MKD,1995,147.0,,19.0,27.0
Mali,MLI,1995,42.0,,26.0,74.0
Malta,MLT,1995,1116.0,163.0,813.0,237.0
Myanmar,MMR,1995,194.0,,169.0,18.0
Middle East & North Africa (excluding high income),MNA,1995,13830.1256501319,,9813.049589041359,5600.13507834929
Montenegro,MNE,1995,,,,
Mongolia,MNG,1995,108.0,,33.0,22.0
Northern Mariana Islands,MNP,1995,669.0,,655.0,
Mozambique,MOZ,1995,,,,
Mauritania,MRT,1995,,,11.0,30.0
Mauritius,MUS,1995,422.0,107.0,616.0,184.0
Malawi,MWI,1995,192.0,,22.0,53.0
Malaysia,MYS,1995,7469.0,20642.0,5044.0,2722.0
North America,NAC,1995,60637.0,69482.1449446349,103407.0,73886.32604013859
Namibia,NAM,1995,272.0,,278.0,90.0
New Caledonia,NCL,1995,86.0,59.0,108.0,
Niger,NER,1995,35.0,10.0,7.0,26.0
Nigeria,NGA,1995,656.0,,47.0,938.0
Nicaragua,NIC,1995,281.0,255.0,51.0,56.0
Netherlands,NLD,1995,6574.0,12313.0,10611.0,13151.0
Norway,NOR,1995,2880.0,590.0,2730.0,4481.0
Nepal,NPL,1995,363.0,100.0,232.0,167.0
Nauru,NRU,1995,,,,
New Zealand,NZL,1995,,920.0,2318.0,1259.0
OECD members,OED,1995,358594.011545025,367684.85975736805,368215.793,364183.0
Oman,OMN,1995,279.0,,,
Other small states,OSS,1995,9884.34271120303,,,2443.7020110672497
Pakistan,PAK,1995,378.0,,582.0,654.0
Panama,PAN,1995,345.0,185.0,372.0,181.0
Peru,PER,1995,479.0,508.0,521.0,428.0
Philippines,PHL,1995,1760.0,1615.0,1141.0,551.0
Palau,PLW,1995,53.0,,,
Papua New Guinea,PNG,1995,42.0,51.0,25.0,58.0
Poland,POL,1995,19215.0,36387.0,6927.0,5865.0
Pre-demographic dividend,PRE,1995,4803.44488584099,,2669.21132426509,
Puerto Rico,PRI,1995,3131.0,1237.0,1828.0,1155.0
"Korea, Dem. People’s Rep.",PRK,1995,,,,
Portugal,PRT,1995,4572.0,,5646.0,2539.0
Paraguay,PRY,1995,438.0,427.0,162.0,173.0
West Bank and Gaza,PSE,1995,,,255.0,162.0
Pacific island small states,PSS,1995,544.1556597131421,,562.113318060433,139.00731814271998
Post-demographic dividend,PST,1995,329188.82339473796,,366390.890377855,364965.013094761
French Polynesia,PYF,1995,172.0,63.0,326.0,
Qatar,QAT,1995,309.0,,,
Romania,ROU,1995,5445.0,5737.0,689.0,749.0
Russian Federation,RUS,1995,10290.0,21329.0,4312.0,11599.0
Rwanda,RWA,1995,,,4.0,13.0
South Asia,SAS,1995,3809.17652972122,5104.21217752535,4012.85133558489,2379.2588901556696
Saudi Arabia,SAU,1995,3325.0,,,
Sudan,SDN,1995,29.0,195.0,8.0,43.0
Senegal,SEN,1995,280.0,,168.1803,154.0
Singapore,SGP,1995,6070.0,2867.0,7611.0,4663.0
Solomon Islands,SLB,1995,11.8,,17.1,17.4
Sierra Leone,SLE,1995,13.8,,57.0,50.5
El Salvador,SLV,1995,235.0,348.0,152.0,99.0
San Marino,SMR,1995,28.0,,,
Somalia,SOM,1995,,,,
Serbia,SRB,1995,,,,
Sub-Saharan Africa (excluding high income),SSA,1995,12830.1363023797,,7106.68583477347,
South Sudan,SSD,1995,,,,
Sub-Saharan Africa,SSF,1995,12957.2049804162,,7347.5229186966,
Small states,SST,1995,15026.9011176526,,,3282.14513815845
Sao Tome and Principe,STP,1995,6.2,,,
Suriname,SUR,1995,43.0,,52.0,27.0
Slovak Republic,SVK,1995,903.0,,630.0,338.0
Slovenia,SVN,1995,732.0,,1128.0,606.0
Sweden,SWE,1995,2310.0,10127.0,4390.0,6816.0
Eswatini,SWZ,1995,300.0,,54.0,45.0
Sint Maarten (Dutch part),SXM,1995,460.0,,349.0,59.0
Seychelles,SYC,1995,121.0,31.0,224.0,34.0
Syrian Arab Republic,SYR,1995,815.0,1746.0,1258.0,498.0
Turks and Caicos Islands,TCA,1995,79.0,,53.0,153.0
Chad,TCD,1995,,,43.0,38.0
East Asia & Pacific (IDA & IBRD countries),TEA,1995,43060.8867891791,18741.0215749075,31280.9019072663,14530.5321803771
Europe & Central Asia (IDA & IBRD countries),TEC,1995,53419.648116417404,93402.232891662,20143.5050464558,21530.5999025181
Togo,TGO,1995,53.0,,13.0,40.0
Thailand,THA,1995,6952.0,1820.0,9257.0,4791.0
Tajikistan,TJK,1995,,,,
Turkmenistan,TKM,1995,218.0,21.0,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,1995,38669.0,22168.7411478368,20970.0,18623.2358343003
Timor-Leste,TLS,1995,,,,
Middle East & North Africa (IDA & IBRD countries),TMN,1995,13620.0436298214,,9557.06727768017,5437.87029645341
Tonga,TON,1995,29.0,,10.0,
South Asia (IDA & IBRD),TSA,1995,3809.17652972122,5104.21217752535,4012.85133558489,2379.2588901556696
Sub-Saharan Africa (IDA & IBRD countries),TSS,1995,12957.2049804162,,7347.5229186966,
Trinidad and Tobago,TTO,1995,260.0,261.0,232.0,91.0
Tunisia,TUN,1995,4120.0,1778.0,1838.0,294.0
Turkey,TUR,1995,7083.0,3981.0,4957.0,911.0
Tuvalu,TUV,1995,0.9,,,
Tanzania,TZA,1995,285.0,157.0,502.0,360.0
Uganda,UGA,1995,160.0,,78.0,80.0
Ukraine,UKR,1995,3716.0,6552.0,191.0,210.0
Upper middle income,UMC,1995,106544.854232143,72672.1390902063,60371.1270976625,49497.8110220866
Uruguay,URY,1995,2022.0,,725.0,332.0
United States,USA,1995,43318.0,51285.0,93743.0,61042.0
Uzbekistan,UZB,1995,92.0,,,
St. Vincent and the Grenadines,VCT,1995,60.0,,53.0,7.0
"Venezuela, RB",VEN,1995,700.0,534.0,995.0,1852.0
British Virgin Islands,VGB,1995,219.0,79.0,211.0,40.0
Virgin Islands (U.S.),VIR,1995,454.0,,822.0,
Vietnam,VNM,1995,1351.0,,,
Vanuatu,VUT,1995,44.0,11.0,45.0,10.0
World,WLD,1995,523909.5974811,633393.2343139531,484904.998823269,462737.30961278797
Samoa,WSM,1995,68.0,,35.69944,6.8
Kosovo,XKX,1995,,,,
"Yemen, Rep.",YEM,1995,61.0,,50.0,76.0
South Africa,ZAF,1995,4488.0,,2654.0,2414.0
Zambia,ZMB,1995,163.0,,,
Zimbabwe,ZWE,1995,1416.0,256.0,145.0,106.0
Aruba,ABW,1996,641.0,,666.0,128.0
Afghanistan,AFG,1996,,,,
Angola,AGO,1996,21.0,3.0,38.0,110.0
Albania,ALB,1996,287.0,,94.0,25.0
Andorra,AND,1996,,,,
Arab World,ARB,1996,21929.046541873802,,15495.8855737236,
United Arab Emirates,ARE,1996,2572.0,,743.0,
Argentina,ARG,1996,2614.0,4296.0,2975.0,4449.0
Armenia,ARM,1996,13.0,,18.0,26.0
American Samoa,ASM,1996,35.0,,,
Antigua and Barbuda,ATG,1996,228.0,,258.0,26.0
Australia,AUS,1996,4165.0,2732.0,11882.0,8545.0
Austria,AUT,1996,17090.0,,13980.0,11777.0
Azerbaijan,AZE,1996,,432.0,57.0,115.0
Burundi,BDI,1996,27.0,35.0,2.141381,12.0
Belgium,BEL,1996,5829.0,5645.0,4844.0,8591.0
Benin,BEN,1996,143.0,,79.1,51.0
Burkina Faso,BFA,1996,131.0,,,
Bangladesh,BGD,1996,166.0,911.0,33.0,251.0
Bulgaria,BGR,1996,2795.0,3006.0,541.0,314.0
Bahrain,BHR,1996,1988.0,,589.0,298.0
"Bahamas, The",BHS,1996,1633.0,,1409.0,279.0
Bosnia and Herzegovina,BIH,1996,,,,
Belarus,BLR,1996,234.0,703.0,61.0,142.0
Belize,BLZ,1996,133.0,,95.0,38.0
Bermuda,BMU,1996,390.0,,472.0,
Bolivia,BOL,1996,313.0,269.0,100.0,87.0
Brazil,BRA,1996,2666.0,3797.0,744.0,4988.0
Barbados,BRB,1996,447.0,,667.0,114.0
Brunei Darussalam,BRN,1996,,,,
Bhutan,BTN,1996,5.2,,6.0,
Botswana,BWA,1996,512.0,,105.0,92.0
Central African Republic,CAF,1996,21.0,,3.0,44.0
Canada,CAN,1996,17286.0,18973.0,10073.0,13815.0
Central Europe and the Baltics,CEB,1996,41706.0,81369.5464356994,22759.0,14321.0
Switzerland,CHE,1996,6730.0,12061.0,10779.0,9798.0
Channel Islands,CHI,1996,,,,
Chile,CHL,1996,1450.0,,1209.0,977.0
China,CHN,1996,22765.0,5061.0,10200.0,4474.0
Cote d'Ivoire,CIV,1996,,,107.0,347.0
Cameroon,CMR,1996,,,151.0,155.0
"Congo, Dem. Rep.",COD,1996,37.0,,,
"Congo, Rep.",COG,1996,39.0,,11.01759,86.0
Colombia,COL,1996,631.0,929.0,1362.0,1431.0
Comoros,COM,1996,24.0,,23.0,
Cabo Verde,CPV,1996,37.0,,37.0,24.0
Costa Rica,CRI,1996,781.0,283.0,797.0,357.0
Caribbean small states,CSS,1996,4563.0,,4557.0,893.0
Cuba,CUB,1996,999.0,72.0,1333.0,
Curacao,CUW,1996,214.0,,186.0,
Cayman Islands,CYM,1996,373.0,,368.0,
Cyprus,CYP,1996,1950.0,365.0,1905.403,500.4285
Czech Republic,CZE,1996,4558.0,,4079.0,2960.0
Germany,DEU,1996,15205.0,,23982.0,64726.0
Djibouti,DJI,1996,20.0,,4.6,17.3
Dominica,DMA,1996,63.0,,44.0,7.0
Denmark,DNK,1996,2125.0,5035.0,3420.0,4140.0
Dominican Republic,DOM,1996,1926.0,358.0,1781.0,313.0
Algeria,DZA,1996,605.0,874.0,45.0,188.0
East Asia & Pacific (excluding high income),EAP,1996,47954.6732178659,21473.1125561587,36159.537445846705,16663.4172692981
Early-demographic dividend,EAR,1996,76476.89454021309,55958.4796732577,51016.1039755196,35138.5304594375
East Asia & Pacific,EAS,1996,84136.5873223838,,90160.0822014172,108982.59888311599
Europe & Central Asia (excluding high income),ECA,1996,38714.90170469721,39264.16685830471,15667.3232269981,14153.4408390406
Europe & Central Asia,ECS,1996,311628.300036608,331730.141559469,255320.19566211,243676.46273382398
Ecuador,ECU,1996,494.0,275.0,330.0,313.0
"Egypt, Arab Rep.",EGY,1996,3528.0,2812.0,3583.0,1382.0
Euro area,EMU,1996,202466.0,,170214.733,158764.4285
Eritrea,ERI,1996,417.0,,69.0,
Spain,ESP,1996,34027.0,4224.0,29751.0,6332.0
Estonia,EST,1996,665.0,1547.0,565.0,141.0
Ethiopia,ETH,1996,109.0,133.0,170.0,30.0
European Union,EUU,1996,267764.0,271420.561517447,227006.733,215192.4285
Fragile and conflict affected situations,FCS,1996,6192.532973322081,,3442.9004130021895,
Finland,FIN,1996,1724.0,4918.0,2408.0,2760.0
Fiji,FJI,1996,340.0,72.0,374.0,88.0
France,FRA,1996,62406.0,18151.0,32088.0,22049.0
Faroe Islands,FRO,1996,,,,
"Micronesia, Fed. Sts.",FSM,1996,17.6,,,
Gabon,GAB,1996,145.0,,91.0,168.0
United Kingdom,GBR,1996,22936.0,42050.0,29181.0,32298.0
Georgia,GEO,1996,117.0,219.0,,
Ghana,GHA,1996,305.0,,32.0,59.0
Gibraltar,GIB,1996,,,,
Guinea,GIN,1996,12.0,,9.3,37.0
"Gambia, The",GMB,1996,77.0,,67.0,15.5
Guinea-Bissau,GNB,1996,,,,4.7
Equatorial Guinea,GNQ,1996,,,4.0,13.0
Greece,GRC,1996,9233.0,,3759.0,1396.0
Grenada,GRD,1996,108.0,,79.0,5.0
Greenland,GRL,1996,,,,
Guatemala,GTM,1996,520.0,333.0,221.0,163.0
Guam,GUM,1996,1373.0,,,
Guyana,GUY,1996,92.0,,112.0,65.0
High income,HIC,1996,393699.339340296,,427393.445619632,419223.87086241
"Hong Kong SAR, China",HKG,1996,,,11994.0,11461.0
Honduras,HND,1996,263.0,162.0,119.0,110.0
Heavily indebted poor countries (HIPC),HPC,1996,5123.40993551343,,2420.73201219595,2707.7431077656697
Croatia,HRV,1996,2914.0,,2014.0,510.0
Haiti,HTI,1996,150.0,,96.0,37.0
Hungary,HUN,1996,2979.0,12064.0,3589.0,1491.0
IBRD only,IBD,1996,168586.277011953,138136.72100846397,101193.70198366999,67906.2982476995
IDA & IBRD total,IBT,1996,183073.285121263,174499.605517057,108748.49179923101,73762.2473040848
IDA total,IDA,1996,13179.7323489985,,7610.550123954929,
IDA blend,IDB,1996,5122.9948568809,,2810.57124307701,
Indonesia,IDN,1996,5034.0,,6184.0,2399.0
IDA only,IDX,1996,7966.7190024563,,4893.71069221718,3734.9992411754897
Isle of Man,IMN,1996,,,,
India,IND,1996,2288.0,3464.0,2831.0,913.0
Not classified,INX,1996,,,,
Ireland,IRL,1996,5289.0,2733.0,3022.33,2198.0
"Iran, Islamic Rep.",IRN,1996,693.0,1218.0,142.0,274.0
Iraq,IRQ,1996,51.0,,15.0,70.0
Iceland,ISL,1996,201.0,190.0,312.0,312.0
Israel,ISR,1996,2100.0,2505.0,3506.0,2849.0
Italy,ITA,1996,32943.0,18173.0,31884.0,18619.0
Jamaica,JAM,1996,1162.0,,1218.0,181.0
Jordan,JOR,1996,1106.0,1141.0,1026.0,630.0
Japan,JPN,1996,3837.0,16695.0,5775.0,46800.0
Kazakhstan,KAZ,1996,202.0,523.0,258.0,364.0
Kenya,KEN,1996,947.0,,823.0,205.0
Kyrgyz Republic,KGZ,1996,42.0,,4.0,7.0
Cambodia,KHM,1996,260.0,38.0,117.0,31.0
Kiribati,KIR,1996,4.2,,2.1,
St. Kitts and Nevis,KNA,1996,84.0,,68.0,5.0
"Korea, Rep.",KOR,1996,3684.0,4649.0,6350.0,8291.0
Kuwait,KWT,1996,76.0,1051.0,389.0,2779.0
Latin America & Caribbean (excluding high income),LAC,1996,37012.0,22937.5718470587,21450.0,20184.1149538533
Lao PDR,LAO,1996,93.0,,63.0,28.0
Lebanon,LBN,1996,424.0,,715.0,
Liberia,LBR,1996,,,,
Libya,LBY,1996,,493.0,4.0,85.0
St. Lucia,LCA,1996,236.0,,237.0,29.0
Latin America & Caribbean,LCN,1996,48999.474563215,26387.385613474104,30972.3743960903,23823.870011046398
Least developed countries: UN classification,LDC,1996,5483.44616631166,,2751.95513395162,2514.18455012996
Low income,LIC,1996,4534.26107845091,,3719.1367190993797,2435.63098675662
Liechtenstein,LIE,1996,56.0,,,
Sri Lanka,LKA,1996,302.0,494.0,282.0,267.0
Lower middle income,LMC,1996,33402.4146318339,29845.185451814697,23186.7502471158,11301.402228556699
Low & middle income,LMY,1996,157499.69490366,116721.540753328,96145.3150231446,65480.2078528401
Lesotho,LSO,1996,312.0,,33.7,16.0
Late-demographic dividend,LTE,1996,116682.48001644199,101572.876292623,72220.8247298593,53836.8232681494
Lithuania,LTU,1996,832.0,2864.0,345.0,270.0
Luxembourg,LUX,1996,724.0,,1640.0,1189.0
Latvia,LVA,1996,565.0,1798.0,231.0,407.0
"Macao SAR, China",MAC,1996,4690.0,,3085.0,
St. Martin (French part),MAF,1996,,,,
Morocco,MAR,1996,2693.0,1212.0,1857.0,353.0
Monaco,MCO,1996,226.0,,,
Moldova,MDA,1996,,,50.0,77.0
Madagascar,MDG,1996,83.0,,102.0,89.0
Maldives,MDV,1996,339.0,32.0,266.0,48.0
Middle East & North Africa,MEA,1996,24838.167387585,,20211.3916750419,
Mexico,MEX,1996,21395.0,9001.0,7531.0,3963.0
Marshall Islands,MHL,1996,6.2,,3.0,
Middle income,MIC,1996,151378.586821791,104681.401802996,92959.9260100616,63194.2215021514
North Macedonia,MKD,1996,136.0,,35.0,30.0
Mali,MLI,1996,98.0,,27.0,69.0
Malta,MLT,1996,1054.0,168.0,780.0,244.0
Myanmar,MMR,1996,490.0,,215.0,28.0
Middle East & North Africa (excluding high income),MNA,1996,14612.824192318698,,10794.4148036893,5495.9855237197
Montenegro,MNE,1996,,,,
Mongolia,MNG,1996,71.0,,20.0,37.0
Northern Mariana Islands,MNP,1996,728.0,,,
Mozambique,MOZ,1996,,,49.0,68.0
Mauritania,MRT,1996,,,19.0,41.0
Mauritius,MUS,1996,487.0,120.0,705.0,205.0
Malawi,MWI,1996,194.0,,31.0,64.0
Malaysia,MYS,1996,7138.0,23333.0,5732.0,3032.0
North America,NAC,1996,64165.0,71962.82879733,112741.0,79492.4635600362
Namibia,NAM,1996,461.0,,293.0,89.0
New Caledonia,NCL,1996,91.0,64.0,114.0,
Niger,NER,1996,68.0,10.0,25.6,59.0
Nigeria,NGA,1996,822.0,,58.0,1318.0
Nicaragua,NIC,1996,303.0,282.0,55.0,79.0
Netherlands,NLD,1996,6580.0,12807.0,11497.0,13709.0
Norway,NOR,1996,2746.0,692.0,2770.0,4759.0
Nepal,NPL,1996,394.0,119.0,237.0,155.0
Nauru,NRU,1996,,,,
New Zealand,NZL,1996,,1093.0,2553.0,1466.0
OECD members,OED,1996,373195.012845386,390625.205218906,391682.33,381225.0
Oman,OMN,1996,349.0,,193.0,349.0
Other small states,OSS,1996,9982.77964650632,,,2463.67594500169
Pakistan,PAK,1996,369.0,,590.0,1018.0
Panama,PAN,1996,362.0,188.0,432.0,210.0
Peru,PER,1996,584.0,510.0,773.0,492.0
Philippines,PHL,1996,2049.0,2121.0,1551.0,1287.0
Palau,PLW,1996,69.0,,,
Papua New Guinea,PNG,1996,61.0,,14.0,72.0
Poland,POL,1996,19410.0,44713.0,8764.0,6357.0
Pre-demographic dividend,PRE,1996,5577.49553019025,,2871.20262632045,
Puerto Rico,PRI,1996,3065.0,1184.0,1898.0,1137.0
"Korea, Dem. People’s Rep.",PRK,1996,,,,
Portugal,PRT,1996,4567.0,,5572.0,2701.0
Paraguay,PRY,1996,426.0,418.0,159.0,185.0
West Bank and Gaza,PSE,1996,220.0,,242.0,191.0
Pacific island small states,PSS,1996,587.557702596085,,589.207118082495,150.01306105935498
Post-demographic dividend,PST,1996,342980.93259975803,,389049.78788356605,381480.77333436895
French Polynesia,PYF,1996,164.0,65.0,322.0,
Qatar,QAT,1996,327.0,,,
Romania,ROU,1996,5205.0,5748.0,670.0,716.0
Russian Federation,RUS,1996,16208.0,12260.0,7102.0,10011.0
Rwanda,RWA,1996,,,6.0,19.0
South Asia,SAS,1996,3930.66156568701,5666.330192653089,4254.38409579367,2661.23769577935
Saudi Arabia,SAU,1996,,,,
Sudan,SDN,1996,38.0,,8.0,28.0
Senegal,SEN,1996,282.0,,164.0,127.0
Singapore,SGP,1996,6048.0,3305.0,7402.0,5015.0
Solomon Islands,SLB,1996,10.3,,16.0,18.5
