Country,Happiness score,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,,
Kenya,4.553,0.560,1.068,0.310,0.453,0.445,0.065,,
Mozambique,4.550,0.234,0.871,0.107,0.481,0.322,0.179,,
Myanmar,4.545,0.367,1.123,0.398,0.514,0.838,0.189,,
Senegal,4.535,0.479,1.180,0.409,0.378,0.183,0.115,,
Zambia,4.514,0.636,1.003,0.258,0.462,0.250,0.078,,
Iraq,4.497,1.103,0.979,0.501,0.289,0.200,0.107,,
Gabon,4.465,1.198,1.156,0.357,0.312,0.044,0.076,,
Ethiopia,4.460,0.339,0.865,0.353,0.409,0.313,0.165,,
Sri Lanka,4.440,1.010,1.260,0.625,0.561,0.491,0.074,,
Armenia,4.376,0.901,1.007,0.638,0.198,0.083,0.027,,
India,4.315,0.792,0.754,0.455,0.470,0.232,0.092,,
Mauritania,4.292,0.648,1.272,0.285,0.096,0.202,0.137,,
Congo (Brazzaville),4.291,0.809,0.832,0.290,0.435,0.121,0.080,,
Georgia,4.286,0.951,0.571,0.650,0.309,0.054,0.252,,
Congo (Kinshasa),4.280,0.092,1.229,0.191,0.236,0.246,0.060,,
Mali,4.190,0.476,1.281,0.169,0.307,0.183,0.105,,
Ivory Coast,4.180,0.603,0.905,0.049,0.448,0.201,0.130,,
Cambodia,4.168,0.602,1.006,0.430,0.633,0.386,0.068,,
Sudan,4.139,0.660,1.214,0.291,0.015,0.182,0.090,,
Ghana,4.120,0.667,0.874,0.296,0.423,0.257,0.025,,
Ukraine,4.096,0.895,1.395,0.576,0.123,0.270,0.023,,
Uganda,4.081,0.381,1.130,0.218,0.443,0.326,0.057,,
Burkina Faso,4.032,0.350,1.043,0.216,0.324,0.251,0.120,,
Niger,4.028,0.162,0.993,0.269,0.364,0.229,0.139,,
Malawi,3.970,0.233,0.513,0.315,0.467,0.287,0.073,,
Chad,3.936,0.438,0.954,0.041,0.162,0.216,0.054,,
Zimbabwe,3.875,0.376,1.083,0.197,0.336,0.189,0.095,,
Lesotho,3.808,0.521,1.190,0.000,0.391,0.157,0.119,,
Angola,3.795,0.858,1.104,0.050,0.000,0.098,0.070,,
Afghanistan,3.794,0.401,0.582,0.181,0.106,0.312,0.061,,
Botswana,3.766,1.122,1.222,0.342,0.505,0.099,0.099,,
Benin,3.657,0.431,0.435,0.210,0.426,0.208,0.061,,
Madagascar,3.644,0.306,0.913,0.375,0.189,0.209,0.067,,
Haiti,3.603,0.369,0.640,0.277,0.030,0.489,0.100,,
Yemen,3.593,0.592,0.935,0.310,0.249,0.104,0.057,,
South Sudan,3.591,0.397,0.601,0.163,0.147,0.286,0.117,,
Liberia,3.533,0.119,0.872,0.230,0.333,0.267,0.039,,
Guinea,3.507,0.245,0.791,0.194,0.349,0.265,0.111,,
Togo,3.495,0.305,0.432,0.247,0.380,0.197,0.096,,
Rwanda,3.471,0.369,0.946,0.326,0.582,0.253,0.455,,
Syria,3.462,0.777,0.396,0.501,0.082,0.494,0.151,,
Tanzania,3.349,0.511,1.042,0.365,0.390,0.354,0.066,,
Burundi,2.905,0.092,0.630,0.152,0.060,0.204,0.084,,
Central African Republic,2.693,0.000,0.000,0.019,0.271,0.281,0.057,,
